question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.064633,0.047619,0.128142,0.019048,0.0,empty
1,2,125.5,304.0,0.495007,0.731707,0.552463,0.0,0.731707,candidate_marked
1,3,148.83333333333334,305.8636363636364,0.028863,0.0,0.096209,0.0,0.0,empty
1,4,175.0,304.5,0.015768,0.0,0.05256,0.0,0.0,empty
2,1,99.0,324.5,0.017729,0.0,0.059096,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.075798,0.07619,0.122502,0.019048,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.061406,0.038095,0.139608,0.009524,0.0,empty
2,4,175.0,325.0,0.545654,0.836735,0.563745,0.0,0.836735,candidate_marked
3,1,99.5,344.5,0.026431,0.0,0.088105,0.0,0.0,empty
3,2,124.5,345.0,0.028694,0.0,0.095648,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.572106,0.885714,0.57845,0.0,0.885714,candidate_marked
3,4,175.0,345.5,0.015719,0.0,0.052397,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.481737,0.704762,0.532773,0.019048,0.704762,candidate_marked
4,2,123.78125,366.59090909090907,0.093305,0.095238,0.112605,0.066667,0.085714,empty
4,3,149.0,365.0,0.010157,0.0,0.033856,0.0,0.0,empty
4,4,175.0,363.5,0.044823,0.02381,0.100467,0.015873,0.0,empty
5,1,98.21875,387.6363636363636,0.048459,0.019048,0.13296,0.0,0.0,empty
5,2,123.78125,387.6363636363636,0.033972,0.0,0.11324,0.0,0.0,empty
5,3,148.5,385.0,0.033,0.0,0.11,0.0,0.0,empty
5,4,175.0,386.0,0.02533,0.0,0.084434,0.0,0.0,empty
6,1,98.5,405.5,0.020168,0.0,0.067227,0.0,0.0,empty
6,2,125.0,405.5,0.075654,0.071429,0.105353,0.047619,0.039683,empty
6,3,149.5,405.0,0.035815,0.019048,0.082876,0.009524,0.0,empty
6,4,175.0,406.5,0.036835,0.028571,0.079925,0.0,0.0,empty
7,1,98.5,426.5,0.048655,0.028571,0.103455,0.019048,0.0,empty
7,2,124.0,427.5,0.061657,0.047619,0.127482,0.007937,0.031746,empty
7,3,151.0,426.0,0.06316,0.038095,0.153389,0.0,0.0,empty
7,4,175.0,428.0,0.092616,0.085714,0.15634,0.028571,0.0,empty
8,1,99.0,447.0,0.029658,0.0,0.098861,0.0,0.0,empty
8,2,124.0,447.0,0.028523,0.0,0.095078,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.032359,0.0,0.107862,0.0,0.0,empty
8,4,174.5,447.5,0.015882,0.0,0.052941,0.0,0.0,empty
