question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.060017,0.028571,0.157199,0.0,0.0,empty
1,2,125.5,304.0,0.018364,0.0,0.061215,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.672392,0.942857,0.644482,0.219048,0.942857,candidate_marked
1,4,175.0,304.5,0.021601,0.0,0.072004,0.0,0.0,empty
2,1,99.0,324.5,0.015621,0.0,0.05207,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.030588,0.0,0.101961,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.042992,0.019048,0.114734,0.0,0.0,empty
2,4,175.0,325.0,0.720876,1.0,0.664826,0.285714,1.0,candidate_marked
3,1,99.5,344.5,0.024922,0.0,0.083072,0.0,0.0,empty
3,2,124.5,345.0,0.675452,1.0,0.629555,0.146341,1.0,candidate_marked
3,3,148.83333333333334,346.1818181818182,0.076168,0.057143,0.12056,0.057143,0.057143,empty
3,4,175.0,345.5,0.019085,0.0,0.063617,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.034824,0.0,0.116078,0.0,0.0,empty
4,2,123.78125,366.59090909090907,0.708465,0.990476,0.645677,0.27619,0.990476,candidate_marked
4,3,149.0,365.0,0.029098,0.0,0.096993,0.0,0.0,empty
4,4,175.0,363.5,0.098385,0.095238,0.145409,0.047619,0.047619,empty
5,1,98.21875,387.6363636363636,0.065602,0.038095,0.145658,0.019048,0.0,empty
5,2,123.78125,387.6363636363636,0.079317,0.07619,0.118357,0.038095,0.0,empty
5,3,148.5,385.0,0.005255,0.0,0.017516,0.0,0.0,empty
5,4,175.0,386.0,0.010756,0.0,0.035854,0.0,0.0,empty
6,1,98.5,405.5,0.74181,1.0,0.671111,0.361905,1.0,candidate_marked
6,2,125.0,405.5,0.108926,0.087302,0.172611,0.071429,0.039683,faint_trace_or_erased
6,3,149.5,405.0,0.079087,0.066667,0.131877,0.038095,0.038095,empty
6,4,175.0,406.5,0.052493,0.028571,0.10831,0.028571,0.0,empty
7,1,98.5,426.5,0.022723,0.019048,0.047171,0.0,0.0,empty
7,2,124.0,427.5,0.030299,0.0,0.100996,0.0,0.0,empty
7,3,151.0,426.0,0.107843,0.104762,0.130906,0.085714,0.047619,faint_trace_or_erased
7,4,175.0,428.0,0.050409,0.038095,0.095014,0.019048,0.038095,empty
8,1,99.0,447.0,0.722824,1.0,0.66338,0.295238,1.0,candidate_marked
8,2,124.0,447.0,0.007755,0.0,0.02585,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.082739,0.066667,0.128179,0.057143,0.057143,empty
8,4,174.5,447.5,0.016725,0.0,0.055752,0.0,0.0,empty
