question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.056275,0.028571,0.144725,0.0,0.0,empty
1,2,125.5,304.0,0.022525,0.0,0.075084,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.530751,0.809524,0.53901,0.019048,0.809524,candidate_marked
1,4,175.0,304.5,0.016405,0.0,0.054684,0.0,0.0,empty
2,1,99.0,324.5,0.016552,0.0,0.055174,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.035104,0.0,0.117012,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.044465,0.009524,0.133931,0.0,0.0,empty
2,4,175.0,325.0,0.555054,0.857143,0.564466,0.0,0.857143,candidate_marked
3,1,99.5,344.5,0.009706,0.0,0.032353,0.0,0.0,empty
3,2,124.5,345.0,0.007834,0.0,0.026112,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.015619,0.0,0.052063,0.0,0.0,empty
3,4,175.0,345.5,0.004755,0.0,0.01585,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.571653,0.847619,0.578525,0.066667,0.847619,candidate_marked
4,2,123.78125,366.59090909090907,0.050112,0.028571,0.124183,0.0,0.0,empty
4,3,149.0,365.0,0.027608,0.0,0.092026,0.0,0.0,empty
4,4,175.0,363.5,0.037554,0.0,0.125179,0.0,0.0,empty
5,1,98.21875,387.6363636363636,0.080768,0.066667,0.137479,0.038095,0.0,empty
5,2,123.78125,387.6363636363636,0.091232,0.07619,0.166013,0.028571,0.0,empty
5,3,148.5,385.0,0.05702,0.033333,0.140065,0.0,0.0,empty
5,4,175.0,386.0,0.020552,0.0,0.068507,0.0,0.0,empty
6,1,98.5,405.5,0.507238,0.733333,0.566984,0.028571,0.685714,candidate_marked
6,2,125.0,405.5,0.075775,0.071429,0.132213,0.015873,0.0,empty
6,3,149.5,405.0,0.065204,0.038095,0.152269,0.009524,0.0,empty
6,4,175.0,406.5,0.021714,0.0,0.072381,0.0,0.0,empty
7,1,98.5,426.5,0.024426,0.0,0.081419,0.0,0.0,empty
7,2,124.0,427.5,0.103772,0.071429,0.179241,0.071429,0.0,faint_trace_or_erased
7,3,151.0,426.0,0.399983,0.495238,0.534865,0.066667,0.495238,candidate_marked
7,4,175.0,428.0,0.025053,0.0,0.083511,0.0,0.0,empty
8,1,99.0,447.0,0.521148,0.761905,0.586368,0.009524,0.752381,candidate_marked
8,2,124.0,447.0,0.010396,0.0,0.034654,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.022476,0.0,0.074921,0.0,0.0,empty
8,4,174.5,447.5,0.026039,0.0,0.086797,0.0,0.0,empty
