question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.043608,0.019048,0.116788,0.0,0.0,empty
1,2,125.5,304.0,0.024304,0.0,0.081014,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.66991,0.952381,0.637796,0.2,0.952381,candidate_marked
1,4,175.0,304.5,0.019493,0.0,0.064978,0.0,0.0,empty
2,1,99.0,324.5,0.025825,0.013889,0.065251,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.063496,0.038095,0.15451,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.054874,0.028571,0.140056,0.0,0.0,empty
2,4,175.0,325.0,0.792173,1.0,0.681393,0.55102,1.0,candidate_marked
3,1,99.5,344.5,0.034657,0.016667,0.090523,0.0,0.0,empty
3,2,124.5,345.0,0.012253,0.0,0.040842,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.722695,0.933333,0.651839,0.428571,0.933333,candidate_marked
3,4,175.0,345.5,0.011552,0.0,0.038508,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.093563,0.104762,0.154734,0.0,0.085714,empty
4,2,123.78125,366.59090909090907,0.100392,0.114286,0.163212,0.0,0.104762,faint_trace_or_erased
4,3,149.0,365.0,0.038412,0.0,0.128039,0.0,0.0,empty
4,4,175.0,363.5,0.064743,0.039683,0.149673,0.007937,0.0,empty
5,1,98.21875,387.6363636363636,0.075283,0.057143,0.165229,0.0,0.0,empty
5,2,123.78125,387.6363636363636,0.059804,0.028571,0.156489,0.0,0.0,empty
5,3,148.5,385.0,0.701451,0.983333,0.654837,0.25,0.983333,candidate_marked
5,4,175.0,386.0,0.023818,0.0,0.079392,0.0,0.0,empty
6,1,98.5,405.5,0.676504,0.885714,0.648665,0.333333,0.885714,candidate_marked
6,2,125.0,405.5,0.08415,0.063492,0.178649,0.007937,0.0,empty
6,3,149.5,405.0,0.066398,0.038095,0.164183,0.0,0.0,empty
6,4,175.0,406.5,0.052678,0.028571,0.132736,0.0,0.0,empty
7,1,98.5,426.5,0.064711,0.047619,0.128403,0.019048,0.0,empty
7,2,124.0,427.5,0.081022,0.055556,0.173514,0.015873,0.0,empty
7,3,151.0,426.0,0.10288,0.07619,0.1969,0.038095,0.047619,faint_trace_or_erased
7,4,175.0,428.0,0.053653,0.028571,0.135985,0.0,0.0,empty
8,1,99.0,447.0,0.619272,0.809524,0.603922,0.295238,0.761905,candidate_marked
8,2,124.0,447.0,0.025546,0.0,0.085154,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.089641,0.085714,0.15436,0.019048,0.047619,empty
8,4,174.5,447.5,0.025098,0.0,0.08366,0.0,0.0,empty
