question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.029725,0.0,0.099085,0.0,0.0,empty
1,2,125.5,304.0,0.635968,1.0,0.619895,0.0,1.0,candidate_marked
1,3,148.83333333333334,305.8636363636364,0.052784,0.0,0.175948,0.0,0.0,empty
1,4,175.0,304.5,0.024869,0.0,0.082898,0.0,0.0,empty
2,1,99.0,324.5,0.017663,0.0,0.058878,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.073709,0.047619,0.174267,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.611311,0.942857,0.591671,0.038095,0.942857,candidate_marked
2,4,175.0,325.0,0.021273,0.0,0.070908,0.0,0.0,empty
3,1,99.5,344.5,0.025353,0.0,0.08451,0.0,0.0,empty
3,2,124.5,345.0,0.017446,0.0,0.058154,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.02884,0.0,0.096134,0.0,0.0,empty
3,4,175.0,345.5,0.652296,0.986111,0.625708,0.083333,0.986111,candidate_marked
4,1,98.21875,366.59090909090907,0.62395,0.895238,0.617927,0.142857,0.895238,candidate_marked
4,2,123.78125,366.59090909090907,0.081737,0.07619,0.15817,0.0,0.057143,empty
4,3,149.0,365.0,0.027569,0.0,0.091895,0.0,0.0,empty
4,4,175.0,363.5,0.074076,0.071429,0.139776,0.0,0.047619,empty
5,1,98.21875,387.6363636363636,0.63214,0.961905,0.616657,0.057143,0.961905,candidate_marked
5,2,123.78125,387.6363636363636,0.047978,0.009524,0.137703,0.009524,0.0,empty
5,3,148.5,385.0,0.072716,0.083333,0.117386,0.0,0.083333,empty
5,4,175.0,386.0,0.021945,0.0,0.073149,0.0,0.0,empty
6,1,98.5,405.5,0.649669,1.0,0.625882,0.047619,1.0,candidate_marked
6,2,125.0,405.5,0.088049,0.079365,0.174448,0.0,0.055556,empty
6,3,149.5,405.0,0.055703,0.028571,0.14282,0.0,0.0,empty
6,4,175.0,406.5,0.066258,0.057143,0.127208,0.009524,0.0,empty
7,1,98.5,426.5,0.054146,0.028571,0.121755,0.019048,0.0,empty
7,2,124.0,427.5,0.084183,0.063492,0.158917,0.031746,0.0,empty
7,3,151.0,426.0,0.531468,0.761905,0.573147,0.066667,0.761905,candidate_marked
7,4,175.0,428.0,0.068711,0.047619,0.15761,0.0,0.0,empty
8,1,99.0,447.0,0.047782,0.028571,0.100542,0.019048,0.0,empty
8,2,124.0,447.0,0.018968,0.0,0.063225,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.54488,0.819048,0.579757,0.009524,0.819048,candidate_marked
8,4,174.5,447.5,0.020078,0.0,0.066928,0.0,0.0,empty
