question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.033204,0.009524,0.096396,0.0,0.0,empty
1,2,125.5,304.0,0.01759,0.0,0.058632,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.64572,0.92381,0.623828,0.171429,0.92381,candidate_marked
1,4,175.0,304.5,0.010654,0.0,0.035512,0.0,0.0,empty
2,1,99.0,324.5,0.020458,0.0,0.068192,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.046588,0.019048,0.126723,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.026263,0.0,0.087544,0.0,0.0,empty
2,4,175.0,325.0,0.687863,1.0,0.656823,0.163265,1.0,candidate_marked
3,1,99.5,344.5,0.027902,0.0,0.093007,0.0,0.0,empty
3,2,124.5,345.0,0.012023,0.0,0.040077,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.741266,1.0,0.677236,0.352381,1.0,candidate_marked
3,4,175.0,345.5,0.00482,0.0,0.016068,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.083787,0.07619,0.165005,0.0,0.038095,empty
4,2,123.78125,366.59090909090907,0.756409,1.0,0.672157,0.419048,1.0,candidate_marked
4,3,149.0,365.0,0.027118,0.0,0.090392,0.0,0.0,empty
4,4,175.0,363.5,0.062689,0.039683,0.129599,0.02381,0.0,empty
5,1,98.21875,387.6363636363636,0.018319,0.0,0.061064,0.0,0.0,empty
5,2,123.78125,387.6363636363636,0.622213,0.933333,0.618487,0.066667,0.933333,candidate_marked
5,3,148.5,385.0,0.024353,0.0,0.081176,0.0,0.0,empty
5,4,175.0,386.0,0.025114,0.0,0.083713,0.0,0.0,empty
6,1,98.5,405.5,0.681591,0.990476,0.643399,0.171429,0.990476,candidate_marked
6,2,125.0,405.5,0.057974,0.039683,0.127109,0.007937,0.039683,empty
6,3,149.5,405.0,0.068969,0.047619,0.142596,0.019048,0.0,empty
6,4,175.0,406.5,0.063854,0.047619,0.11761,0.028571,0.0,empty
7,1,98.5,426.5,0.047126,0.019048,0.128515,0.0,0.0,empty
7,2,124.0,427.5,0.053926,0.02381,0.14404,0.0,0.0,empty
7,3,151.0,426.0,0.66581,0.847619,0.630476,0.380952,0.847619,candidate_marked
7,4,175.0,428.0,0.047591,0.028571,0.099907,0.019048,0.0,empty
8,1,99.0,447.0,0.72642,0.990476,0.665845,0.32381,0.990476,candidate_marked
8,2,124.0,447.0,0.022521,0.0,0.07507,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.067849,0.057143,0.116639,0.028571,0.057143,empty
8,4,174.5,447.5,0.004863,0.0,0.016209,0.0,0.0,empty
