question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.088964,0.066667,0.156863,0.047619,0.0,empty
1,2,125.5,304.0,0.015208,0.0,0.050693,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.56758,0.828571,0.569711,0.095238,0.828571,candidate_marked
1,4,175.0,304.5,0.017565,0.0,0.058551,0.0,0.0,empty
2,1,99.0,324.5,0.55902,0.861111,0.571732,0.0,0.861111,candidate_marked
2,2,123.78125,326.38461538461536,0.053003,0.009524,0.16239,0.0,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.066717,0.047619,0.150962,0.0,0.0,empty
2,4,175.0,325.0,0.018631,0.0,0.062105,0.0,0.0,empty
3,1,99.5,344.5,0.018412,0.0,0.061373,0.0,0.0,empty
3,2,124.5,345.0,0.026714,0.0,0.089048,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.045597,0.009524,0.137703,0.0,0.0,empty
3,4,175.0,345.5,0.041087,0.013889,0.116122,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.104459,0.095238,0.173595,0.038095,0.0,faint_trace_or_erased
4,2,123.78125,366.59090909090907,0.063473,0.028571,0.160784,0.009524,0.0,empty
4,3,149.0,365.0,0.020667,0.0,0.068889,0.0,0.0,empty
4,4,175.0,363.5,0.097736,0.079365,0.173669,0.039683,0.063492,empty
5,1,98.21875,387.6363636363636,0.053608,0.038095,0.113613,0.009524,0.0,empty
5,2,123.78125,387.6363636363636,0.058745,0.028571,0.145023,0.009524,0.0,empty
5,3,148.5,385.0,0.012922,0.0,0.043072,0.0,0.0,empty
5,4,175.0,386.0,0.025378,0.0,0.084594,0.0,0.0,empty
6,1,98.5,405.5,0.64721,0.990476,0.616097,0.066667,0.990476,candidate_marked
6,2,125.0,405.5,0.097698,0.087302,0.168254,0.031746,0.047619,empty
6,3,149.5,405.0,0.063972,0.038095,0.132288,0.028571,0.0,empty
6,4,175.0,406.5,0.05949,0.038095,0.117348,0.028571,0.038095,empty
7,1,98.5,426.5,0.031283,0.0,0.104276,0.0,0.0,empty
7,2,124.0,427.5,0.066349,0.039683,0.155026,0.007937,0.031746,empty
7,3,151.0,426.0,0.082325,0.066667,0.158543,0.019048,0.0,empty
7,4,175.0,428.0,0.061378,0.038095,0.131578,0.019048,0.0,empty
8,1,99.0,447.0,0.654,0.980952,0.629206,0.095238,0.980952,candidate_marked
8,2,124.0,447.0,0.007683,0.0,0.02561,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.066258,0.066667,0.120859,0.0,0.057143,empty
8,4,174.5,447.5,0.022059,0.0,0.073529,0.0,0.0,empty
