question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.027126,0.019048,0.061849,0.0,0.0,empty
1,2,125.5,304.0,0.030244,0.0,0.100813,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.031798,0.019048,0.077423,0.0,0.0,empty
1,4,175.0,304.5,0.64241,1.0,0.629793,0.013889,1.0,candidate_marked
2,1,99.0,324.5,0.02567,0.0,0.085566,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.06763,0.047619,0.146069,0.009524,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.080112,0.066667,0.143231,0.028571,0.0,empty
2,4,175.0,325.0,0.565102,0.836735,0.594558,0.040816,0.836735,candidate_marked
3,1,99.5,344.5,0.028853,0.016667,0.071176,0.0,0.0,empty
3,2,124.5,345.0,0.017561,0.0,0.058537,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.645289,1.0,0.627152,0.028571,1.0,candidate_marked
3,4,175.0,345.5,0.006667,0.0,0.022222,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.654818,0.933333,0.61606,0.2,0.933333,candidate_marked
4,2,123.78125,366.59090909090907,0.094661,0.085714,0.171092,0.019048,0.057143,empty
4,3,149.0,365.0,0.028863,0.0,0.096209,0.0,0.0,empty
4,4,175.0,363.5,0.083483,0.063492,0.143355,0.047619,0.0,empty
5,1,98.21875,387.6363636363636,0.089496,0.07619,0.176097,0.009524,0.0,empty
5,2,123.78125,387.6363636363636,0.082594,0.057143,0.181662,0.009524,0.0,empty
5,3,148.5,385.0,0.074196,0.05,0.130654,0.05,0.0,empty
5,4,175.0,386.0,0.606975,0.938776,0.598079,0.020408,0.938776,candidate_marked
6,1,98.5,405.5,0.03284,0.0,0.109468,0.0,0.0,empty
6,2,125.0,405.5,0.095093,0.087302,0.186026,0.0,0.031746,empty
6,3,149.5,405.0,0.085557,0.057143,0.167731,0.038095,0.0,empty
6,4,175.0,406.5,0.101249,0.085714,0.17718,0.038095,0.0,faint_trace_or_erased
7,1,98.5,426.5,0.047148,0.019048,0.12859,0.0,0.0,empty
7,2,124.0,427.5,0.100098,0.087302,0.202708,0.0,0.039683,faint_trace_or_erased
7,3,151.0,426.0,0.065378,0.038095,0.160784,0.0,0.038095,empty
7,4,175.0,428.0,0.097692,0.095238,0.151036,0.038095,0.047619,empty
8,1,99.0,447.0,0.068476,0.057143,0.11873,0.028571,0.047619,empty
8,2,124.0,447.0,0.032581,0.0,0.108603,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.605137,0.914286,0.606013,0.047619,0.914286,candidate_marked
8,4,174.5,447.5,0.009118,0.0,0.030392,0.0,0.0,empty
